x,y,z,
11.36,2.82,1.58,
12.09,2.18,0.45,
11.08,0.89,-0.33,
11.74,0.32,-0.54,
11.36,0.42,0.53,
10.88,0.41,0.15,
9.66,0.25,-0.22,
9.58,0.03,-0.26,
9.38,0.59,-0.10,
10.39,1.45,1.12,
11.15,2.17,-0.14,
11.80,2.08,-0.58,
11.65,2.02,-0.93,
12.19,1.43,-1.32,
10.89,1.01,-0.37,
9.86,2.02,-0.28,
11.91,3.31,-1.60,
12.26,3.62,-1.56,
10.91,2.36,-1.00,
9.68,1.44,-0.42,
10.35,1.97,-1.05,
11.59,3.13,-1.96,
12.44,3.79,-2.74,
10.41,2.31,-0.89,
10.08,0.92,-0.63,
10.96,0.16,-1.77,
12.76,1.26,-2.64,
13.39,1.62,-3.09,
11.97,0.90,-2.24,
11.00,1.33,-0.83,
11.77,0.90,-1.11,
12.98,0.66,-1.98,
13.09,0.13,-2.88,
13.40,1.67,-1.79,
12.53,1.82,-0.72,
12.30,1.53,-1.04,
11.24,-0.32,-0.64,
12.17,-3.21,-2.35,
12.90,-4.91,-3.79,
13.28,-4.38,-2.77,
12.82,1.42,-0.84,
12.02,0.99,-0.83,
12.88,-1.98,-0.86,
15.76,-1.95,-3.61,
13.88,0.70,-1.59,
12.08,0.93,-0.86,
11.10,-0.74,1.05,
12.71,-2.28,-0.96,
12.66,-0.71,-2.19,
13.81,0.34,-1.93,
11.44,1.75,-0.27,
9.15,0.68,1.69,
11.33,-0.38,0.91,
13.32,-1.25,-1.47,
13.56,-0.82,-1.97,
10.84,-1.38,-2.20,
10.05,-1.77,-3.21,
10.17,-0.62,-2.69,
9.53,-0.85,-1.76,
9.21,-1.78,-2.21,
8.52,-1.45,-1.33,
8.25,-1.20,-1.30,
7.14,0.68,-0.39,
7.37,1.56,-1.04,
6.55,1.26,-0.89,
7.32,-0.57,-0.73,
7.99,-2.41,-1.87,
7.31,-1.54,-0.94,
6.61,0.70,-0.67,
6.51,1.75,-0.01,
7.76,1.35,0.01,
8.42,-0.45,-1.45,
10.50,-0.14,-2.37,
8.76,-0.27,-0.31,
8.31,1.01,0.48,
8.16,1.99,-0.94,
7.63,2.40,-0.62,
7.88,2.41,0.06,
9.52,1.03,-0.39,
10.37,0.25,-1.38,
9.31,-0.16,-1.65,
10.24,0.26,-2.16,
10.35,1.16,-2.03,
10.20,1.73,-1.57,
9.42,2.05,-1.55,
8.98,1.50,-2.47,
8.54,1.45,-2.70,
9.38,1.55,-3.17,
10.81,1.52,-2.51,
10.16,1.24,-2.49,
8.83,1.79,-2.02,
8.62,2.34,-1.13,
10.43,1.78,-0.19,
10.87,1.79,-0.68,
11.18,1.22,-0.66,
11.59,0.55,-0.25,
10.92,1.28,0.39,
11.22,2.45,0.66,
10.39,3.86,0.92,
9.81,2.33,0.11,
10.44,0.27,-0.84,
10.70,-0.22,-1.06,
10.82,0.52,-0.34,
9.98,0.82,-0.32,
9.00,0.66,0.50,
9.02,1.52,0.90,
10.10,2.36,1.71,
10.38,1.71,0.86,
10.62,0.85,0.08,
10.59,0.14,-0.44,
10.44,0.03,-0.73,
10.61,0.00,-0.54,
11.06,0.53,-0.66,
10.94,1.45,0.16,
10.04,0.89,-0.31,
10.36,1.33,0.36,
10.10,0.84,0.20,
9.20,0.58,0.11,
9.38,0.99,0.33,
10.62,1.31,0.94,
10.60,1.41,0.98,
10.26,2.06,1.45,
10.17,1.59,0.96,
9.64,1.87,1.47,
8.67,1.60,0.69,
9.58,2.25,1.22,
11.02,2.18,1.63,
11.45,1.57,1.23,
11.92,0.97,0.70,
11.52,1.17,0.61,
10.10,0.56,0.20,
9.68,0.59,0.41,
10.03,0.76,-0.17,
9.65,0.95,0.04,
10.45,2.23,0.77,
10.62,2.18,0.89,
10.70,1.70,1.17,
10.36,1.92,1.96,
10.03,2.23,1.99,
10.27,2.22,1.56,
9.27,1.58,1.01,
9.23,1.55,0.94,
10.03,2.22,1.16,
10.07,2.34,1.46,
10.87,2.24,2.04,
10.34,1.94,2.69,
10.56,1.67,2.19,
9.63,1.84,1.93,
8.60,1.55,1.40,
9.33,2.41,1.33,
10.74,2.63,2.33,
10.44,2.40,2.63,
10.04,2.09,2.50,
9.94,1.52,2.16,
8.97,1.53,1.26,
10.49,2.17,1.37,
10.69,2.08,1.60,
10.81,1.72,2.32,
10.87,1.28,2.06,
10.74,1.40,1.78,
9.56,1.13,0.99,
8.99,1.65,1.70,
10.52,2.18,2.36,
10.34,2.00,2.74,
10.30,1.34,2.26,
10.05,1.19,1.90,
10.00,1.03,1.16,
9.12,1.20,1.18,
9.88,2.05,1.84,
10.87,2.67,2.29,
10.58,2.45,1.27,
10.56,2.20,1.09,
10.32,0.74,0.69,
9.86,0.13,0.67,
10.91,1.42,1.07,
10.55,1.72,1.64,
10.40,2.19,1.89,
9.32,2.50,2.16,
8.28,2.32,1.47,
9.05,2.83,1.39,
10.43,2.89,2.15,
10.08,2.72,2.36,
9.71,2.58,2.29,
8.16,2.37,1.74,
9.19,3.13,1.94,
9.86,3.18,2.48,
8.51,2.17,1.90,
8.18,2.01,1.11,
9.77,2.39,0.89,
9.95,2.21,1.35,
8.74,1.38,1.07,
8.92,1.68,0.68,
10.69,1.76,2.12,
11.17,1.71,1.49,
10.67,2.24,1.64,
10.72,2.05,1.12,
9.34,1.76,0.60,
9.18,2.14,1.30,
10.13,2.74,2.51,
9.48,2.74,2.45,
8.49,1.87,1.19,
9.79,1.68,0.50,
11.52,2.12,1.01,
10.81,1.95,1.40,
10.43,1.33,0.91,
10.15,1.26,0.41,
9.32,1.45,-0.25,
10.28,1.45,-0.79,
10.43,0.64,-1.45,
10.33,0.94,-1.17,
9.87,1.08,-1.02,
10.72,0.92,-1.23,
10.55,0.95,-1.71,
10.59,1.51,-1.08,
10.56,1.17,-1.58,
9.92,1.28,-1.09,
9.96,1.89,-0.68,
11.49,2.86,0.14,
12.17,3.33,0.03,
12.50,3.25,0.58,
10.80,0.90,-0.29,
10.60,-0.07,0.31,
11.34,1.09,0.39,
11.13,1.27,-0.25,
10.10,0.78,-0.07,
10.29,0.42,-0.03,
10.60,0.26,-0.01,
10.93,0.33,-0.30,
10.11,0.22,-0.34,
10.55,0.01,-0.48,
10.50,-0.25,0.14,
10.20,0.13,0.86,
8.91,0.46,0.36,
8.81,1.53,0.82,
9.83,2.19,1.67,
8.86,1.61,1.22,
8.69,1.35,0.87,
9.88,1.73,1.74,
10.05,1.13,1.58,
9.59,1.06,1.43,
8.87,1.04,0.92,
10.24,1.67,1.95,
10.52,1.70,1.89,
10.45,1.86,1.49,
10.08,1.64,1.54,
9.45,0.84,0.51,
9.44,1.16,0.74,
10.69,1.71,1.35,
10.61,1.80,2.07,
10.55,1.43,1.64,
9.82,1.44,1.75,
9.27,1.06,0.94,
10.47,1.29,1.78,
10.49,1.41,2.25,
10.72,1.70,2.30,
10.05,1.66,1.88,
10.22,1.57,1.26,
9.97,1.15,1.08,
10.21,1.32,0.84,
10.69,1.39,1.13,
11.01,1.68,1.27,
11.52,2.66,1.51,
11.58,3.72,1.34,
11.15,2.56,1.79,
11.28,2.38,1.80,
10.34,2.40,1.32,
9.78,1.81,1.45,
9.82,1.37,0.94,
10.64,1.98,2.22,
10.06,3.01,1.96,
10.39,3.11,1.11,
9.64,2.37,0.72,
9.11,1.69,-0.11,
8.83,2.12,-0.15,
8.73,2.48,-0.49,
8.74,2.96,-0.75,
9.31,2.61,-1.02,
9.65,2.29,-0.70,
10.81,2.40,-0.12,
10.30,1.96,-0.38,
9.82,1.80,0.17,
9.63,2.32,0.42,
10.59,2.89,1.60,
10.40,3.28,1.50,
10.56,3.26,1.27,
10.38,2.88,0.95,
10.48,2.85,1.03,
10.25,2.93,1.06,
10.04,2.94,1.36,
9.53,2.61,0.92,
8.81,2.44,0.42,
8.76,2.79,0.24,
10.08,3.38,1.23,
10.27,2.79,1.03,
10.09,2.73,0.86,
10.58,3.03,1.25,
10.53,2.59,1.38,
10.63,2.63,1.19,
11.07,3.52,0.75,
12.09,4.78,0.32,
12.02,3.75,1.55,
11.16,2.14,1.48,
10.26,1.93,3.01,
10.64,1.91,2.65,
11.17,1.38,2.30,
11.46,0.83,0.97,
11.88,1.13,0.78,
11.47,1.72,0.89,
11.15,2.28,1.26,
10.38,2.14,1.51,
10.10,2.72,2.02,
10.07,3.25,2.59,
9.52,2.75,2.41,
9.13,2.12,2.01,
9.15,1.67,1.43,
9.98,1.87,1.44,
10.58,1.93,1.70,
10.11,2.19,1.60,
9.57,2.23,1.28,
10.10,2.59,1.89,
9.71,3.14,2.26,
9.70,2.91,2.29,
8.62,1.69,1.52,
8.55,1.65,0.87,
8.71,2.25,0.79,
9.91,2.80,1.79,
10.45,2.82,1.77,
10.61,2.68,1.71,
11.22,2.29,1.62,
10.68,2.44,2.18,
9.94,2.80,2.44,
10.24,3.18,2.56,
10.30,3.35,2.53,
10.16,3.46,2.82,
10.38,3.78,2.58,
10.43,3.44,1.96,
10.97,3.32,1.31,
10.87,3.23,1.34,
10.82,2.74,0.68,
10.56,2.68,0.88,
10.34,3.05,1.26,
10.35,3.44,0.65,
10.78,3.31,0.55,
11.18,2.29,0.15,
11.40,2.33,-0.01,
11.44,2.58,-0.02,
10.24,2.46,-0.72,
9.15,2.64,-0.45,
9.10,2.96,-0.19,
9.43,3.06,-0.53,
9.10,2.97,-0.50,
8.88,3.04,-0.43,
9.04,3.21,-0.41,
9.53,3.94,-0.50,
9.34,3.88,-0.29,
9.14,3.27,-0.37,
9.61,3.10,0.06,
10.30,3.07,0.68,
10.12,3.35,0.61,
10.82,3.51,1.18,
10.18,3.56,1.55,
9.94,3.38,1.71,
10.63,3.07,1.68,
10.05,2.77,1.56,
10.12,3.18,1.51,
10.70,3.05,1.34,
10.04,2.61,0.57,
10.32,2.80,0.44,
10.18,2.89,0.72,
10.16,3.05,0.83,
9.69,2.91,0.18,
9.41,2.70,-0.10,
9.08,2.61,0.27,
10.46,3.20,0.38,
10.45,3.07,0.51,
10.28,2.90,0.47,
10.25,3.26,1.64,
10.39,3.74,1.37,
10.58,4.21,1.29,
10.31,3.69,1.54,
10.33,3.07,1.97,
10.27,3.46,1.88,
10.78,3.88,1.21,
10.36,3.76,0.95,
10.35,3.44,0.82,
10.52,3.08,0.68,
10.59,2.88,0.89,
9.82,2.48,0.68,
9.16,1.92,0.44,
8.82,1.64,0.07,
9.82,2.67,0.35,
10.54,3.18,1.17,
10.53,3.24,1.18,
11.06,2.55,1.57,
10.77,2.85,1.95,
10.44,3.09,2.44,
10.38,2.87,2.11,
10.75,2.71,2.01,
10.81,2.81,1.88,
10.80,2.49,2.03,
10.43,2.29,1.44,
10.52,2.19,1.62,
10.62,2.00,1.49,
9.84,1.78,1.12,
9.17,1.56,0.65,
8.91,1.78,0.40,
10.17,2.24,0.67,
9.65,2.49,1.19,
10.56,2.18,1.79,
11.12,1.64,1.39,
11.33,1.02,1.09,
11.25,1.25,1.18,
11.33,1.22,1.40,
10.00,1.22,1.39,
9.97,1.33,1.46,
9.18,1.37,1.39,
9.99,1.97,2.04,
10.62,2.15,2.77,
10.59,1.97,2.78,
10.83,1.66,2.72,
10.49,1.34,2.16,
10.12,1.36,2.20,
9.71,1.50,2.38,
8.93,1.58,1.38,
9.73,1.73,1.88,
10.66,1.80,2.45,
10.52,2.08,2.51,
10.69,1.61,2.25,
10.98,1.50,2.23,
11.21,1.31,1.50,
10.76,2.60,0.83,
10.55,1.93,1.00,
10.20,0.96,1.53,
9.94,1.47,1.65,
10.40,1.86,1.13,
10.01,1.57,1.73,
11.02,2.03,2.45,
10.76,1.84,2.58,
10.68,1.60,2.24,
10.43,1.50,1.99,
10.72,1.08,1.83,
10.58,1.03,1.23,
10.77,1.28,0.80,
10.35,1.60,0.28,
10.33,1.72,0.29,
10.48,1.30,0.46,
10.24,1.39,1.26,
9.39,1.34,1.37,
8.98,1.49,1.28,
9.06,2.03,1.57,
10.33,2.29,2.78,
10.43,2.27,2.85,
10.46,2.41,2.49,
10.43,2.55,2.43,
10.88,2.21,1.77,
10.93,2.20,1.76,
10.78,2.07,1.45,
10.28,2.00,1.12,
10.74,1.84,1.03,
11.17,1.61,1.04,
10.05,1.35,0.51,
10.29,0.98,0.58,
10.28,0.75,1.05,
10.43,0.65,1.03,
9.53,0.53,0.66,
9.05,0.53,0.58,
10.05,0.90,0.19,
11.29,1.12,1.14,
11.55,1.01,1.17,
11.49,0.99,1.13,
11.94,0.98,1.48,
12.78,2.65,0.67,
12.84,2.37,1.85,
11.90,0.17,2.14,
11.12,1.10,1.82,
11.81,2.37,1.76,
10.80,0.55,2.65,
9.66,-1.22,2.64,
9.84,-1.41,2.17,
9.52,-1.54,1.82,
9.71,-1.65,1.04,
10.04,-0.80,1.18,
9.66,-1.28,0.87,
8.60,-0.41,1.36,
9.34,0.71,1.61,
9.93,1.43,2.60,
9.68,1.50,2.45,
7.76,1.47,1.36,
8.59,1.68,1.22,
10.10,1.88,2.25,
10.27,1.60,2.77,
10.81,1.17,3.13,
10.69,1.18,3.45,
10.32,1.11,3.56,
9.54,0.78,2.26,
8.33,0.61,2.05,
8.09,0.44,1.73,
9.89,1.71,3.25,
10.33,1.45,3.03,
10.56,1.00,2.74,
10.12,0.82,1.53,
9.95,0.95,1.52,
9.10,0.11,1.06,
8.71,-0.17,1.12,
9.02,0.76,1.35,
10.11,1.10,2.63,
10.33,1.06,2.83,
11.19,0.56,2.96,
11.61,0.40,2.55,
11.56,0.73,2.62,
10.29,0.91,1.75,
9.91,0.76,2.09,
9.30,0.54,1.36,
9.73,1.22,1.41,
11.57,1.78,3.57,
11.67,1.82,3.46,
11.33,2.22,3.51,
11.11,2.69,2.58,
11.52,2.68,1.51,
10.24,1.10,3.17,
10.77,1.88,0.92,
10.50,2.73,0.79,
10.21,1.51,0.88,
9.96,0.70,1.26,
9.89,0.30,1.25,
10.26,0.91,1.98,
10.19,1.23,1.78,
10.51,1.68,2.21,
10.18,2.14,1.78,
10.35,2.45,1.47,
10.35,3.00,1.59,
10.37,2.72,2.05,
10.29,2.13,2.87,
10.92,2.64,2.91,
10.05,2.49,2.18,
9.92,2.19,2.28,
8.90,1.27,1.94,
8.92,1.55,1.61,
9.60,1.98,1.95,
10.73,1.92,2.70,
11.36,2.09,2.12,
10.75,2.13,2.74,
10.99,2.27,2.39,
10.79,2.30,2.65,
10.19,2.03,1.91,
10.39,1.96,1.90,
10.99,1.87,1.58,
9.78,1.32,0.73,
9.19,0.76,0.67,
9.32,1.17,0.59,
10.72,1.81,3.13,
10.66,2.12,3.01,
10.70,2.44,3.29,
11.05,2.59,3.34,
10.33,1.93,2.23,
10.31,1.42,2.20,
9.88,1.31,2.20,
8.87,1.63,1.61,
12.41,5.53,0.44,
10.88,1.27,2.65,
10.94,0.49,4.64,
12.61,2.08,3.00,
12.01,1.45,3.88,
11.57,0.99,3.48,
10.45,1.30,2.20,
10.18,0.66,1.59,
8.88,0.36,2.36,
10.07,-0.03,1.87,
9.03,-0.61,1.62,
9.56,-0.65,1.52,
9.79,-0.50,1.85,
10.38,-0.30,3.03,
9.58,1.01,3.02,
9.98,1.06,3.62,
7.71,-0.27,1.45,
8.73,-0.00,1.30,
9.40,0.44,0.92,
11.56,-0.57,2.98,
11.15,-0.05,3.32,
10.66,0.51,2.40,
10.87,0.25,3.35,
10.79,-0.19,3.31,
10.80,0.31,3.54,
9.91,0.69,3.43,
8.15,0.51,1.95,
9.45,0.83,2.69,
11.10,0.94,3.80,
11.42,0.65,3.31,
9.41,-0.19,1.83,
8.79,-0.54,1.14,
8.55,-0.02,1.32,
9.84,0.58,1.95,
11.18,0.85,3.39,
11.06,0.89,2.88,
9.02,0.29,1.37,
8.64,-0.13,0.76,
9.52,0.18,1.36,
11.32,0.78,2.80,
10.74,0.30,2.74,
10.19,-0.08,1.92,
10.58,0.10,2.35,
9.00,-0.44,1.05,
8.79,0.17,1.05,
9.84,0.75,2.51,
9.91,-0.66,2.67,
9.78,-0.73,1.77,
9.29,-0.12,1.24,
8.77,0.15,1.36,
11.48,1.67,1.85,
11.99,2.69,2.10,
11.86,2.22,2.90,
10.58,1.72,1.06,
9.31,0.30,1.44,
10.32,-0.59,1.33,
10.80,-1.67,1.17,
11.31,-1.64,0.70,
10.31,-0.26,0.94,
9.20,0.67,0.43,
10.51,1.45,2.54,
9.88,1.26,1.86,
8.44,0.69,0.55,
9.22,0.84,0.14,
11.67,1.49,2.35,
11.65,0.70,1.53,
10.59,0.30,0.95,
9.50,-0.07,0.04,
9.63,1.02,0.95,
11.27,2.18,2.57,
9.87,1.58,2.86,
8.17,0.44,0.97,
8.94,1.08,1.47,
10.89,1.20,2.72,
10.14,0.65,1.85,
9.43,0.22,0.46,
9.03,0.79,0.41,
11.70,1.84,2.45,
10.89,1.86,2.52,
10.16,1.39,1.29,
8.78,0.94,0.35,
10.73,2.06,1.88,
10.95,2.30,2.77,
10.45,1.53,2.18,
9.31,1.49,1.59,
8.49,1.25,0.58,
11.15,2.48,3.18,
11.19,2.10,2.67,
10.24,1.63,1.92,
9.27,1.24,1.12,
9.66,1.98,1.07,
11.44,2.68,2.76,
10.74,2.23,2.73,
8.54,1.29,0.84,
8.93,1.58,0.51,
11.06,2.54,2.61,
10.62,2.43,2.13,
9.54,1.97,1.44,
8.06,1.37,1.04,
10.55,2.53,3.57,
10.35,2.16,3.63,
10.18,1.49,2.19,
9.80,1.64,1.08,
10.83,2.11,0.91,
11.04,1.26,2.51,
11.40,1.04,3.45,
10.44,0.43,2.54,
8.99,-0.41,1.51,
8.48,-0.67,0.91,
8.78,-0.63,0.73,
11.04,-0.07,1.69,
11.14,0.61,1.89,
11.03,1.53,3.04,
9.86,1.28,2.81,
8.06,0.83,2.00,
8.91,1.44,3.40,
10.44,1.43,4.11,
9.55,0.74,3.31,
8.71,-0.01,2.10,
9.56,0.63,2.80,
11.55,1.03,4.02,
10.35,0.94,3.83,
9.35,0.40,2.50,
9.58,0.69,2.71,
11.64,0.64,3.91,
11.73,-0.02,3.23,
10.47,-0.35,2.17,
10.46,0.41,2.18,
9.11,0.55,1.37,
8.24,0.64,0.61,
11.04,1.43,3.44,
10.89,1.16,3.03,
9.68,0.77,2.21,
9.23,0.77,1.56,
11.16,1.53,3.73,
11.03,1.00,3.53,
8.84,-0.17,1.84,
8.25,0.46,1.56,
9.03,1.26,2.35,
10.26,1.28,2.97,
9.11,1.20,2.28,
7.91,0.60,1.17,
9.98,1.87,2.39,
10.12,0.94,2.25,
9.11,0.08,1.20,
8.91,0.12,1.01,
11.69,1.23,3.10,
11.51,0.60,2.79,
9.97,0.08,1.98,
9.71,0.44,2.02,
11.17,0.56,3.04,
12.50,1.76,1.95,
10.14,0.57,1.70,
9.71,-0.37,1.36,
10.15,0.59,0.90,
9.92,0.27,1.40,
11.45,0.80,3.08,
11.71,1.67,2.62,
10.25,0.98,2.46,
8.91,-0.53,1.14,
9.39,-0.38,1.23,
10.71,-0.44,0.64,
9.84,-0.15,0.73,
11.64,0.94,2.16,
11.10,1.10,2.25,
10.15,0.92,1.78,
8.59,-0.04,0.14,
8.76,0.21,0.29,
10.54,2.14,1.98,
10.53,1.99,2.87,
9.66,1.74,2.45,
7.77,2.81,1.83,
8.37,3.39,2.40,
9.90,3.03,3.78,
7.86,1.76,1.94,
8.38,1.50,1.45,
11.14,1.69,3.51,
10.94,0.97,2.28,
9.31,0.97,1.51,
9.10,1.90,0.64,
11.08,2.64,2.93,
11.14,2.34,2.97,
8.99,1.09,1.31,
8.04,0.85,0.21,
10.43,1.95,1.55,
11.24,2.36,2.71,
10.53,2.16,2.03,
9.60,1.28,1.49,
8.39,0.76,0.36,
11.26,2.25,2.52,
11.67,2.11,2.79,
11.47,2.07,2.09,
9.60,1.17,0.31,
9.30,1.07,0.17,
10.90,1.95,2.03,
11.37,1.77,2.45,
10.87,1.84,1.57,
11.21,3.33,0.33,
10.63,2.85,0.49,
10.70,1.35,2.04,
11.53,2.97,2.71,
10.11,2.74,4.47,
10.30,0.71,5.65,
9.87,1.11,5.05,
8.56,-1.08,2.84,
9.20,-1.36,2.45,
9.63,0.03,1.92,
10.97,0.72,3.63,
10.37,0.77,3.46,
8.25,0.41,1.85,
8.03,0.63,1.19,
9.88,1.25,2.52,
10.07,1.22,3.27,
9.76,1.03,2.26,
8.50,0.78,1.35,
11.00,2.03,3.93,
10.98,2.16,4.38,
10.99,0.85,3.38,
9.42,-0.69,1.95,
9.24,-1.51,0.95,
9.05,-0.72,1.03,
9.49,0.36,1.05,
11.09,1.40,3.20,
10.60,2.23,3.88,
10.37,1.45,3.02,
8.36,1.50,1.86,
9.55,0.19,1.53,
11.11,2.25,4.00,
10.37,0.91,2.25,
8.80,0.57,2.48,
8.20,0.93,2.21,
9.58,1.40,3.62,
8.84,0.58,3.11,
7.62,0.47,1.48,
9.47,1.40,2.31,
10.23,1.54,2.81,
9.56,0.93,1.86,
8.61,0.69,1.51,
10.88,1.53,3.25,
11.49,1.54,3.45,
11.82,1.16,2.68,
10.79,2.20,0.70,
9.87,-0.28,0.13,
8.22,1.17,3.19,
11.61,2.38,1.36,
11.75,5.57,1.69,
10.30,5.17,2.32,
8.76,2.80,3.03,
9.20,2.21,2.50,
11.11,2.24,3.01,
11.04,2.33,3.38,
9.47,1.35,1.81,
8.66,0.58,0.88,
10.05,1.39,0.35,
10.67,2.50,2.15,
10.23,2.86,1.98,
9.26,3.40,1.99,
7.96,2.72,0.94,
9.91,3.82,2.56,
9.92,3.83,2.58,
9.21,2.30,1.11,
9.98,2.59,1.90,
10.50,2.85,3.51,
9.59,2.95,3.49,
7.86,2.58,1.56,
9.28,2.76,2.01,
10.25,3.26,3.26,
9.15,2.10,1.48,
8.09,1.84,0.76,
9.94,2.64,1.15,
10.51,2.44,2.20,
10.02,1.91,0.95,
9.15,1.85,0.43,
10.48,2.08,1.35,
11.01,3.08,1.89,
10.56,2.97,2.54,
10.24,2.89,2.44,
9.32,2.83,1.68,
8.75,2.16,0.76,
10.22,2.48,1.94,
10.73,2.17,1.71,
9.94,1.64,1.14,
9.25,1.23,-0.54,
10.19,1.61,0.63,
11.05,1.56,1.11,
11.19,1.57,1.92,
11.27,1.81,1.31,
9.00,1.62,0.72,
9.28,1.53,0.16,
11.12,2.49,1.80,
11.07,1.76,1.84,
9.86,1.46,1.37,
9.68,1.92,1.63,
11.09,1.52,3.28,
10.62,1.48,3.74,
10.76,0.50,2.56,
8.61,-0.59,1.64,
9.66,0.17,0.48,
11.25,1.18,2.56,
10.46,0.09,3.39,
9.04,-0.40,2.18,
8.19,0.27,1.74,
8.61,0.93,1.38,
11.44,1.67,3.19,
10.69,1.31,2.72,
9.53,0.91,2.39,
9.54,0.97,2.37,
10.95,1.32,4.01,
10.71,1.08,3.98,
10.39,0.69,3.01,
9.46,0.32,1.28,
10.10,0.74,2.07,
10.94,0.85,2.82,
10.88,1.35,2.93,
9.71,0.99,2.67,
8.57,0.21,1.66,
11.04,1.05,3.59,
11.13,1.12,3.46,
10.45,0.52,2.73,
9.49,0.09,2.23,
9.87,0.86,2.27,
10.84,1.16,4.16,
10.43,1.18,3.81,
8.45,0.50,2.45,
8.56,0.71,2.51,
10.40,0.99,3.83,
10.10,0.51,3.08,
9.50,0.48,1.88,
9.09,0.05,1.11,
11.23,0.76,3.25,
11.31,0.44,2.78,
10.38,0.61,2.40,
9.47,0.37,1.45,
9.69,0.50,2.01,
10.96,0.60,3.16,
10.51,0.39,2.89,
8.87,-0.04,1.20,
8.11,-0.11,1.67,
9.01,-0.20,1.27,
10.81,0.70,3.31,
11.34,0.72,3.49,
10.99,0.71,3.56,
9.86,0.34,2.51,
9.54,-0.23,0.64,
10.25,-0.10,1.16,
9.76,-0.42,-0.25,
10.11,1.28,1.45,
11.83,0.82,1.66,
10.25,1.10,4.03,
11.15,0.39,1.88,
9.49,0.04,0.21,
10.11,0.26,-0.25,
9.63,-0.03,-0.52,
9.99,0.25,0.27,
11.38,0.61,1.39,
11.35,0.51,0.57,
9.90,0.62,0.22,
9.19,0.86,-0.51,
10.55,1.43,0.05,
11.57,1.95,0.93,
11.48,1.75,0.73,
10.93,0.98,0.53,
10.38,1.00,0.92,
9.88,0.85,0.39,
10.40,0.73,1.37,
11.47,0.95,1.28,
11.36,1.42,1.41,
9.97,0.90,0.27,
9.34,1.04,-0.07,
10.11,1.28,0.65,
11.46,1.55,1.41,
11.21,1.59,1.13,
10.51,1.28,0.67,
9.60,0.80,0.30,
10.17,1.27,1.21,
10.92,1.49,1.98,
10.82,1.68,2.38,
9.77,1.04,0.62,
8.86,1.07,-0.11,
9.60,0.99,-0.39,
11.12,1.52,2.15,
11.16,1.74,1.95,
10.53,1.72,1.68,
9.77,1.56,1.40,
9.26,1.12,0.33,
10.80,1.40,2.24,
11.33,0.91,1.85,
10.11,0.69,1.00,
10.31,0.61,0.31,
9.23,0.79,0.20,
11.16,1.40,1.64,
11.11,1.59,2.12,
11.12,0.57,1.12,
10.36,0.60,1.11,
9.29,0.26,-0.11,
9.22,0.88,0.53,
12.15,2.97,1.04,
11.02,0.46,2.82,
10.78,-0.01,2.23,
12.20,0.75,1.81,
10.66,-0.03,1.90,
10.26,-0.52,1.30,
