x,y,z,
9.92,0.06,2.74,
9.63,0.15,2.53,
9.56,-0.05,2.64,
9.93,0.02,2.88,
9.72,0.14,2.57,
9.54,-0.00,2.62,
9.85,-0.02,2.80,
9.94,0.02,2.82,
9.76,0.12,2.55,
9.70,-0.05,2.75,
9.87,0.02,2.81,
9.89,0.13,2.73,
9.61,0.05,2.64,
9.88,-0.06,2.82,
9.93,0.03,2.79,
9.54,0.00,2.52,
9.76,0.03,2.78,
9.89,0.03,2.78,
9.54,0.07,2.44,
9.86,0.01,2.88,
9.89,0.09,2.75,
9.54,0.01,2.54,
9.84,-0.04,2.87,
9.92,0.05,2.85,
9.71,0.19,2.52,
9.68,-0.07,2.79,
9.84,-0.04,2.88,
9.91,0.03,2.80,
9.63,0.06,2.52,
9.77,-0.06,2.81,
9.90,-0.07,2.90,
9.81,0.06,2.68,
9.60,0.09,2.57,
9.80,-0.03,2.77,
9.97,0.04,2.82,
9.65,0.07,2.50,
9.64,-0.01,2.64,
9.90,0.03,2.81,
9.69,0.13,2.66,
9.57,0.04,2.55,
9.85,-0.07,2.85,
9.86,0.04,2.82,
9.57,0.10,2.52,
9.67,-0.04,2.75,
9.94,0.01,2.77,
9.69,0.09,2.56,
9.59,0.06,2.63,
9.92,0.00,2.84,
9.68,0.14,2.54,
9.62,-0.12,2.63,
9.89,-0.04,2.89,
9.93,0.12,2.76,
9.66,0.11,2.46,
9.72,0.01,2.79,
9.91,0.09,2.74,
9.57,0.12,2.52,
9.76,-0.03,2.80,
9.95,0.01,2.84,
9.72,0.10,2.57,
9.65,-0.06,2.78,
9.89,0.03,2.84,
9.91,0.09,2.69,
9.63,0.05,2.54,
9.90,-0.01,2.88,
9.95,0.09,2.83,
9.69,0.08,2.63,
9.72,-0.05,2.83,
9.96,-0.00,2.84,
9.91,0.01,2.82,
9.60,0.04,2.56,
9.77,-0.00,2.86,
9.91,-0.06,2.85,
9.75,0.16,2.65,
9.55,0.07,2.59,
9.81,-0.05,2.92,
9.90,0.06,2.73,
9.59,0.13,2.51,
9.72,-0.02,2.71,
9.83,-0.07,2.86,
9.81,0.07,2.73,
9.62,0.07,2.49,
9.70,-0.03,2.74,
9.95,0.04,2.74,
9.63,0.08,2.49,
9.57,-0.02,2.63,
9.92,0.02,2.87,
9.82,0.16,2.69,
9.52,0.02,2.47,
9.97,0.06,2.91,
9.79,0.08,2.69,
9.59,0.02,2.46,
9.94,-0.01,2.80,
9.95,0.01,2.70,
9.60,0.14,2.57,
9.84,-0.01,2.76,
9.96,0.02,2.85,
9.69,0.12,2.57,
9.73,-0.10,2.73,
9.88,-0.01,2.79,
9.96,0.03,2.82,
9.71,0.11,2.60,
9.72,-0.12,2.80,
9.91,-0.06,2.89,
9.93,0.03,2.78,
9.55,0.05,2.58,
9.77,-0.05,2.77,
9.97,-0.01,2.81,
9.79,0.06,2.64,
9.58,0.03,2.56,
9.83,-0.03,2.79,
9.88,0.08,2.76,
9.59,0.13,2.46,
9.63,-0.06,2.69,
9.77,-0.02,2.81,
9.86,0.05,2.76,
9.62,0.05,2.57,
9.73,-0.03,2.69,
9.96,0.01,2.87,
9.66,0.10,2.58,
9.68,0.07,2.61,
9.90,0.02,2.76,
9.69,0.08,2.48,
9.54,-0.06,2.58,
9.90,0.00,2.90,
9.77,0.05,2.68,
9.59,0.09,2.45,
9.95,-0.02,2.88,
9.90,0.03,2.75,
9.57,0.12,2.49,
9.80,-0.05,2.83,
9.96,0.03,2.85,
9.73,0.15,2.54,
9.66,-0.06,2.71,
9.84,-0.07,2.85,
9.88,-0.02,2.96,
9.92,0.08,2.73,
9.60,-0.02,2.65,
9.72,0.00,2.76,
9.90,0.00,2.87,
9.60,-0.00,2.53,
9.62,0.05,2.65,
9.91,0.00,2.85,
9.67,0.12,2.49,
9.63,0.03,2.63,
9.93,-0.01,2.80,
9.77,0.06,2.69,
9.55,0.04,2.43,
9.82,0.00,2.83,
9.79,0.06,2.69,
9.58,0.06,2.60,
9.85,-0.06,2.88,
9.83,0.06,2.81,
9.64,0.02,2.44,
9.68,-0.08,2.70,
9.86,-0.01,2.83,
9.82,0.01,2.67,
9.57,0.08,2.49,
9.77,-0.06,2.78,
9.97,0.01,2.85,
9.66,0.10,2.51,
9.65,0.05,2.72,
9.88,0.08,2.79,
9.63,0.17,2.48,
9.68,-0.02,2.66,
9.95,0.04,2.83,
9.75,0.16,2.54,
9.60,0.04,2.56,
9.92,0.04,2.77,
9.72,0.09,2.59,
9.57,0.03,2.63,
9.98,0.04,2.80,
9.71,0.12,2.53,
9.66,0.06,2.64,
9.92,0.10,2.80,
9.57,0.10,2.50,
9.66,0.01,2.72,
9.87,0.11,2.68,
9.62,0.09,2.50,
9.76,-0.07,2.75,
9.99,0.02,2.84,
9.70,0.14,2.59,
9.58,0.01,2.60,
9.93,0.00,2.90,
9.58,0.10,2.51,
9.60,-0.02,2.63,
9.78,0.00,2.86,
9.82,0.08,2.63,
9.55,0.06,2.49,
9.82,-0.07,2.88,
9.83,0.10,2.78,
9.60,0.07,2.51,
9.72,-0.14,2.77,
9.93,0.10,2.87,
9.73,0.18,2.62,
9.59,0.03,2.56,
9.90,0.08,2.81,
9.67,0.12,2.51,
9.58,0.00,2.63,
9.88,0.09,2.83,
9.60,0.10,2.49,
9.62,-0.07,2.74,
9.93,-0.05,2.82,
9.91,0.07,2.71,
9.63,0.11,2.48,
9.90,-0.03,2.82,
9.93,0.02,2.79,
9.72,0.10,2.60,
9.73,-0.08,2.75,
9.83,-0.08,2.90,
9.95,-0.00,2.82,
9.88,0.03,2.72,
9.66,-0.03,2.50,
9.77,0.03,2.80,
9.90,0.02,2.86,
9.55,0.07,2.59,
9.79,-0.02,2.78,
9.90,0.02,2.92,
9.67,0.00,2.61,
9.63,-0.01,2.67,
9.82,-0.04,2.84,
9.94,0.03,2.77,
9.59,0.16,2.52,
9.69,0.04,2.79,
9.84,0.08,2.73,
9.59,0.06,2.59,
9.66,-0.02,2.68,
9.80,-0.06,2.85,
9.76,0.08,2.68,
9.63,0.05,2.54,
9.76,-0.06,2.80,
9.92,0.12,2.84,
9.62,0.05,2.56,
9.66,0.00,2.73,
9.97,0.12,2.78,
9.64,0.08,2.49,
9.66,-0.03,2.73,
9.94,0.03,2.82,
9.74,0.13,2.62,
9.61,-0.01,2.54,
9.87,0.00,2.88,
9.83,0.06,2.78,
9.57,0.09,2.51,
9.87,-0.01,2.85,
9.94,0.03,2.90,
9.68,0.09,2.52,
9.76,-0.01,2.71,
9.89,-0.03,2.90,
9.97,0.00,2.80,
9.64,0.09,2.52,
9.78,-0.04,2.86,
9.92,-0.03,2.84,
9.95,-0.00,2.77,
9.65,0.07,2.53,
9.67,-0.02,2.69,
9.78,-0.08,2.86,
9.86,0.06,2.71,
9.60,0.04,2.43,
9.71,-0.06,2.69,
9.79,-0.04,2.92,
9.85,0.09,2.79,
9.57,0.05,2.51,
9.68,0.00,2.73,
9.87,0.03,2.68,
9.61,0.05,2.53,
9.73,0.03,2.76,
9.77,0.06,2.74,
9.61,0.06,2.47,
9.72,-0.11,2.80,
9.89,0.08,2.78,
9.65,0.15,2.46,
9.60,-0.04,2.72,
9.90,0.05,2.84,
9.71,0.12,2.57,
9.58,-0.00,2.53,
9.83,-0.08,2.78,
9.92,-0.02,2.81,
9.87,0.06,2.76,
9.58,0.01,2.53,
9.87,-0.02,2.88,
9.91,0.06,2.81,
9.72,0.09,2.51,
9.69,-0.07,2.75,
9.86,-0.03,2.87,
9.97,0.04,2.83,
9.60,0.08,2.57,
9.78,-0.06,2.81,
9.90,-0.02,2.79,
9.76,0.09,2.60,
9.58,0.03,2.47,
9.78,-0.06,2.86,
9.90,0.09,2.72,
9.57,0.11,2.44,
9.66,0.00,2.63,
9.88,0.13,2.69,
9.61,0.09,2.50,
9.69,-0.03,2.75,
9.90,0.02,2.88,
9.68,0.12,2.51,
9.65,-0.03,2.67,
9.83,-0.04,2.83,
9.88,0.06,2.83,
9.69,0.05,2.49,
9.61,-0.10,2.73,
9.95,0.00,2.90,
9.80,0.12,2.55,
9.55,0.06,2.54,
9.92,0.02,2.80,
9.73,0.06,2.60,
9.59,0.04,2.55,
9.95,0.02,2.77,
9.69,0.11,2.53,
9.60,0.02,2.74,
9.92,0.05,2.90,
9.63,0.12,2.51,
9.60,0.02,2.71,
9.86,0.07,2.88,
9.68,0.12,2.54,
9.59,-0.05,2.59,
9.89,0.01,2.89,
9.75,0.10,2.56,
9.57,0.01,2.56,
9.98,0.05,2.85,
9.69,0.11,2.60,
9.63,0.02,2.56,
9.86,0.05,2.75,
9.63,0.10,2.53,
9.62,0.01,2.64,
9.95,-0.01,2.85,
9.68,0.06,2.73,
9.54,0.10,2.59,
9.77,-0.07,2.73,
9.88,0.04,2.76,
9.63,0.08,2.47,
9.67,-0.07,2.73,
9.87,0.02,2.90,
9.64,0.08,2.57,
9.62,-0.04,2.57,
9.88,-0.05,2.88,
9.90,0.02,2.79,
9.60,0.10,2.57,
9.76,-0.01,2.79,
9.88,-0.03,2.89,
9.87,0.08,2.77,
9.54,0.05,2.48,
9.81,-0.04,2.84,
9.92,-0.05,2.94,
9.88,0.06,2.79,
9.61,0.03,2.67,
9.84,-0.05,2.82,
9.92,0.04,2.82,
9.59,0.14,2.46,
9.73,-0.00,2.74,
9.90,-0.05,2.86,
9.81,0.08,2.64,
9.63,0.08,2.56,
9.77,-0.01,2.79,
9.87,0.05,2.72,
9.66,0.09,2.52,
9.63,-0.03,2.58,
9.93,0.05,2.77,
9.74,0.11,2.63,
9.56,0.04,2.52,
9.91,-0.00,2.79,
9.88,0.14,2.64,
9.61,0.04,2.53,
9.76,-0.00,2.80,
9.92,0.02,2.88,
9.70,0.10,2.59,
9.62,-0.06,2.62,
9.90,0.04,2.83,
9.84,0.13,2.56,
9.60,0.02,2.56,
9.89,0.03,2.88,
9.79,0.06,2.58,
9.59,0.04,2.62,
9.90,-0.00,2.84,
9.85,0.09,2.79,
9.57,0.04,2.61,
9.89,-0.05,2.86,
9.94,0.03,2.81,
9.66,0.14,2.49,
9.72,-0.06,2.85,
9.97,0.01,2.82,
9.78,0.12,2.67,
9.67,-0.07,2.63,
9.84,-0.07,2.85,
9.95,0.04,2.85,
9.77,0.11,2.57,
9.68,-0.02,2.66,
9.86,-0.03,2.88,
9.93,-0.01,2.82,
9.72,0.13,2.51,
9.59,-0.01,2.63,
9.81,-0.02,2.78,
9.84,0.10,2.81,
9.67,0.12,2.56,
9.63,0.01,2.64,
9.84,0.05,2.82,
9.63,0.09,2.53,
9.62,-0.02,2.62,
9.78,-0.07,2.75,
9.90,0.11,2.77,
9.61,0.10,2.49,
9.68,-0.05,2.69,
9.92,0.04,2.89,
9.72,0.13,2.52,
9.57,0.01,2.65,
9.87,0.04,2.87,
9.68,0.08,2.55,
9.61,-0.07,2.57,
9.91,-0.01,2.88,
9.90,0.10,2.83,
9.65,0.12,2.46,
9.83,0.00,2.89,
9.85,0.06,2.78,
9.59,0.04,2.48,
9.78,-0.06,2.84,
9.90,0.03,2.86,
9.72,0.02,2.59,
9.69,0.00,2.79,
9.91,0.05,2.77,
9.66,0.13,2.50,
9.73,-0.00,2.86,
9.87,0.02,2.94,
9.75,0.08,2.70,
9.55,0.05,2.63,
9.89,0.04,2.83,
9.73,0.16,2.57,
9.54,0.08,2.56,
9.95,0.04,2.87,
9.70,0.10,2.55,
9.61,-0.00,2.54,
9.84,-0.02,2.82,
9.96,0.06,2.84,
9.70,0.10,2.61,
9.77,-0.03,2.77,
9.83,-0.01,2.87,
9.96,0.06,2.75,
9.60,0.07,2.60,
9.73,-0.02,2.81,
9.90,-0.02,2.85,
9.90,0.06,2.80,
9.57,0.11,2.61,
9.82,0.00,2.83,
9.83,0.12,2.66,
9.60,-0.01,2.61,
9.73,-0.04,2.76,
9.79,-0.06,2.88,
9.85,0.10,2.69,
9.56,0.08,2.44,
9.70,-0.01,2.78,
9.91,0.04,2.83,
9.68,0.09,2.50,
9.64,-0.02,2.65,
9.91,0.01,2.80,
9.80,0.16,2.62,
9.60,0.06,2.57,
9.88,0.02,2.81,
9.78,0.14,2.57,
9.60,0.06,2.61,
9.91,0.05,2.80,
9.78,0.14,2.61,
9.56,0.01,2.55,
9.93,0.04,2.81,
9.65,0.07,2.51,
9.67,-0.06,2.63,
9.82,-0.04,2.78,
9.88,0.05,2.75,
9.61,0.17,2.57,
9.66,-0.01,2.70,
9.97,0.02,2.83,
9.74,0.08,2.61,
9.54,0.00,2.53,
9.91,0.00,2.80,
9.69,0.13,2.48,
9.60,0.07,2.57,
9.97,0.06,2.83,
9.64,0.06,2.62,
9.58,0.01,2.66,
9.90,0.06,2.81,
9.59,0.11,2.50,
9.63,-0.08,2.70,
9.97,-0.02,2.86,
9.91,0.12,2.76,
9.60,0.10,2.54,
9.81,-0.07,2.88,
9.91,0.00,2.87,
9.72,0.13,2.53,
9.66,-0.10,2.72,
9.90,-0.11,2.82,
9.93,0.03,2.84,
9.72,0.10,2.48,
9.74,-0.06,2.76,
9.82,-0.01,2.88,
9.94,0.09,2.83,
9.60,0.08,2.61,
9.75,-0.05,2.84,
9.93,0.00,2.91,
9.62,0.06,2.55,
9.66,-0.01,2.73,
9.82,-0.05,2.89,
9.97,0.06,2.75,
9.60,0.12,2.52,
9.64,-0.01,2.83,
9.84,-0.02,2.91,
9.85,0.10,2.71,
9.57,0.08,2.53,
9.69,-0.08,2.74,
9.93,0.05,2.77,
9.65,0.08,2.61,
9.61,0.00,2.66,
9.91,0.00,2.74,
9.68,0.13,2.45,
9.64,-0.06,2.65,
9.87,0.01,2.85,
9.78,0.12,2.56,
9.59,0.01,2.56,
9.87,0.04,2.84,
9.67,0.05,2.50,
9.61,-0.03,2.57,
9.88,-0.05,2.82,
9.90,0.04,2.79,
9.66,0.11,2.46,
9.68,-0.08,2.68,
9.88,0.03,2.86,
9.84,0.14,2.70,
9.61,0.04,2.56,
9.90,0.01,2.87,
9.80,0.11,2.56,
9.55,0.04,2.62,
9.91,0.04,2.90,
9.69,0.12,2.53,
9.61,0.04,2.57,
9.91,0.05,2.79,
9.67,0.09,2.51,
9.65,-0.04,2.59,
9.89,-0.01,2.84,
9.91,0.06,2.81,
9.67,0.10,2.57,
9.81,-0.06,2.91,
9.93,0.03,2.84,
9.76,0.14,2.62,
9.72,-0.06,2.64,
9.85,0.01,2.85,
9.87,0.09,2.74,
9.61,0.00,2.54,
9.84,-0.03,2.89,
9.91,-0.03,2.88,
9.91,0.06,2.67,
9.57,-0.02,2.69,
9.75,-0.05,2.79,
9.89,-0.06,2.80,
9.85,0.15,2.63,
9.56,0.01,2.58,
9.76,-0.05,2.78,
9.88,0.11,2.68,
9.64,0.08,2.46,
9.68,-0.06,2.70,
9.97,-0.05,2.89,
9.90,0.07,2.70,
9.65,0.08,2.52,
9.82,0.03,2.85,
9.92,0.04,2.71,
9.60,0.06,2.57,
9.85,-0.05,2.80,
9.94,0.00,2.82,
9.67,0.11,2.55,
9.55,-0.04,2.65,
9.90,-0.01,2.89,
9.89,0.06,2.73,
9.66,0.11,2.54,
9.78,-0.03,2.80,
9.93,-0.01,2.85,
9.86,0.05,2.68,
9.57,0.01,2.56,
9.83,-0.01,2.88,
9.92,0.07,2.82,
9.63,0.04,2.53,
9.70,-0.09,2.74,
9.90,-0.02,2.93,
9.90,0.02,2.90,
9.55,0.08,2.51,
9.73,-0.01,2.78,
9.87,-0.05,2.90,
9.72,0.11,2.64,
9.53,-0.02,2.61,
9.63,0.01,2.69,
9.87,0.05,2.78,
9.68,0.17,2.50,
9.67,-0.05,2.76,
9.91,-0.03,2.85,
9.80,0.07,2.72,
9.66,0.04,2.46,
9.82,-0.02,2.83,
9.97,0.03,2.86,
9.66,0.14,2.53,
9.68,0.03,2.79,
9.85,-0.01,2.81,
9.80,0.07,2.63,
9.57,0.00,2.56,
9.92,0.03,2.85,
9.82,0.12,2.65,
9.55,0.09,2.51,
9.92,0.08,2.79,
9.70,0.12,2.54,
9.61,0.04,2.64,
9.90,0.01,2.75,
9.63,0.08,2.54,
9.57,0.03,2.62,
9.91,0.06,2.86,
9.65,0.13,2.52,
9.63,0.02,2.70,
9.89,0.07,2.73,
9.57,0.19,2.51,
9.67,-0.03,2.70,
9.90,0.05,2.93,
9.74,0.11,2.58,
9.55,-0.04,2.62,
9.83,-0.07,2.84,
9.86,-0.01,2.86,
9.85,0.10,2.63,
9.59,-0.01,2.70,
9.70,-0.02,2.85,
9.87,-0.07,2.86,
9.92,0.00,2.85,
9.51,0.03,2.62,
9.75,-0.07,2.79,
9.92,0.05,2.87,
9.65,0.09,2.51,
9.56,0.03,2.67,
9.87,-0.05,2.96,
9.82,0.08,2.62,
9.56,0.02,2.62,
9.81,-0.02,2.87,
9.91,0.02,2.69,
9.59,0.08,2.50,
9.68,0.00,2.77,
9.87,0.21,2.72,
9.61,0.10,2.54,
9.78,-0.09,2.78,
9.91,0.08,2.77,
9.60,0.10,2.62,
9.61,-0.06,2.66,
9.74,-0.07,2.84,
9.91,0.05,2.78,
9.63,0.06,2.56,
9.67,-0.04,2.68,
9.93,0.05,2.80,
9.72,0.14,2.57,
9.56,-0.01,2.58,
9.90,0.01,2.83,
9.83,0.08,2.70,
9.56,0.03,2.54,
9.87,0.00,2.91,
9.84,0.06,2.69,
9.57,0.11,2.46,
9.92,-0.05,2.85,
9.92,0.11,2.79,
9.60,0.10,2.50,
9.82,-0.02,2.84,
9.88,-0.03,2.79,
9.90,0.08,2.73,
9.57,0.07,2.55,
9.84,-0.01,2.93,
9.99,0.01,2.84,
9.72,0.10,2.58,
9.71,-0.04,2.76,
9.88,-0.01,2.87,
9.91,0.03,2.79,
9.57,0.11,2.58,
9.77,-0.03,2.77,
9.88,0.00,2.85,
9.64,0.05,2.53,
9.65,-0.06,2.62,
