
Initialize MPU6050

 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3440 / -1783 / 1206

x,y,z
9.80,-1.16,2.41,
9.77,-1.19,2.39,
9.82,-1.22,2.34,
9.83,-1.06,2.44,
9.56,-1.10,2.63,
9.85,-1.17,2.28,
9.87,-1.12,2.42,
9.93,-1.18,2.29,
9.76,-1.10,2.52,
9.75,-1.27,2.29,
9.63,-1.05,2.64,
9.86,-1.22,2.24,
9.80,-1.14,2.44,
9.85,-1.13,2.23,
9.85,-1.12,2.44,
9.92,-1.15,2.26,
9.82,-1.13,2.43,
9.78,-1.14,2.39,
9.69,-1.12,2.39,
9.70,-1.11,2.42,
9.84,-1.15,2.38,
9.86,-1.08,2.38,
9.95,-1.16,2.29,
9.91,-1.17,2.40,
9.84,-1.14,2.36,
9.77,-1.21,2.41,
9.72,-1.10,2.40,
9.56,-1.34,2.26,
9.79,-0.08,3.16,
9.74,-1.40,2.62,
10.94,-2.20,0.96,
10.79,0.03,1.16,
7.56,-2.88,3.62,
9.29,0.40,2.74,
10.91,-1.88,2.10,
12.29,-0.62,2.05,
11.63,-0.70,1.90,
10.09,-2.15,3.40,
10.45,-0.78,2.02,
9.66,-2.18,2.90,
8.79,-0.85,3.51,
9.07,-1.21,3.82,
9.50,-1.53,3.41,
9.74,-0.96,4.11,
10.08,-1.48,3.41,
8.00,-1.66,4.39,
8.60,-2.61,4.45,
9.65,-1.28,2.70,
5.49,-2.17,6.14,
5.61,-1.65,6.13,
8.99,-2.27,5.35,
10.80,-1.30,3.35,
5.89,-2.34,5.92,
3.89,-1.86,7.65,
8.18,-1.75,4.94,
8.40,-2.33,5.24,
5.53,-1.89,6.61,
4.73,-2.31,6.83,
6.01,-2.13,6.61,
8.33,-2.34,6.58,
8.64,-1.48,4.84,
4.94,-2.56,7.47,
6.03,-1.84,6.90,
9.24,-2.26,5.50,
5.70,-2.00,6.18,
3.70,-2.64,9.07,
3.96,-2.48,6.55,
3.38,-2.50,8.15,
4.41,-2.28,7.05,
3.26,-2.55,7.75,
7.97,-2.75,9.61,
11.56,-0.95,2.24,
4.19,-2.67,9.25,
2.20,-2.53,8.29,
1.79,-3.00,7.26,
0.70,-2.61,8.97,
6.16,-2.73,9.78,
9.84,-1.56,3.70,
3.32,-2.64,7.88,
0.01,-2.62,9.39,
1.06,-2.96,7.84,
3.44,-2.68,10.28,
7.87,-1.25,5.42,
2.53,-3.06,7.91,
-0.17,-2.58,9.74,
0.22,-2.92,7.96,
-1.14,-2.79,8.78,
2.97,-2.91,10.21,
7.02,-1.69,5.57,
2.31,-2.76,8.63,
-0.99,-3.03,10.16,
0.45,-2.65,7.70,
0.11,-3.12,9.30,
4.97,-1.75,8.37,
5.57,-2.79,5.60,
-0.71,-2.66,9.25,
-3.14,-3.18,9.33,
-1.41,-3.34,8.79,
6.04,-1.02,7.96,
5.02,-3.41,6.52,
-0.26,-1.90,9.17,
-2.08,-3.58,9.03,
1.15,-2.56,8.99,
4.60,-2.15,7.99,
2.83,-2.69,7.31,
-1.01,-2.92,9.41,
-1.38,-2.94,8.35,
-0.74,-3.19,8.74,
3.70,-1.82,8.59,
6.39,-2.33,6.64,
1.75,-2.93,7.52,
-2.35,-2.77,10.08,
-0.90,-3.01,8.21,
2.70,-2.37,9.31,
4.75,-1.97,7.12,
1.95,-3.12,7.93,
-0.22,-2.43,9.35,
1.17,-2.96,8.57,
2.16,-2.37,8.08,
1.84,-2.72,8.31,
0.90,-2.53,8.28,
-0.20,-2.68,8.84,
1.69,-2.40,8.38,
4.09,-2.34,7.62,
5.51,-2.36,7.64,
5.60,-2.43,7.14,
4.06,-2.40,8.03,
3.18,-2.47,8.19,
3.40,-2.46,7.83,
3.84,-2.30,8.03,
4.60,-2.57,7.80,
4.56,-2.16,7.18,
4.62,-2.55,7.77,
5.32,-2.29,7.34,
5.83,-2.35,7.16,
5.48,-2.26,7.17,
4.08,-2.27,7.70,
4.16,-2.22,7.57,
4.94,-2.37,7.01,
5.73,-2.02,6.95,
6.77,-2.25,6.41,
6.77,-2.06,6.22,
5.74,-2.17,6.73,
6.19,-2.06,6.67,
7.78,-2.01,5.95,
8.49,-1.97,5.58,
8.24,-1.94,5.68,
7.50,-2.04,5.83,
7.34,-1.90,5.86,
7.83,-1.92,5.61,
8.31,-1.83,5.30,
7.99,-1.89,5.48,
8.08,-1.82,5.45,
7.96,-1.85,5.39,
7.37,-1.85,5.39,
7.07,-1.90,5.62,
7.76,-1.87,5.17,
8.42,-1.77,4.78,
8.28,-1.74,4.87,
8.33,-1.72,4.84,
8.52,-1.66,4.63,
8.72,-1.64,4.52,
8.86,-1.71,4.42,
8.72,-1.63,4.38,
9.11,-1.63,4.40,
9.26,-1.56,3.90,
8.01,-1.81,4.18,
8.05,-1.47,4.42,
9.16,-1.51,3.72,
9.53,-1.38,3.73,
9.75,-1.45,3.49,
8.93,-1.44,3.61,
8.83,-1.41,3.73,
9.38,-1.45,3.38,
9.84,-1.31,3.21,
10.15,-1.36,2.98,
10.12,-1.22,2.72,
9.44,-1.31,3.00,
8.84,-1.40,3.31,
9.20,-1.22,2.89,
9.84,-1.25,2.87,
10.01,-1.14,2.52,
9.60,-1.33,2.71,
9.59,-1.19,2.49,
9.74,-1.16,2.79,
10.30,-1.09,2.30,
10.41,-1.14,1.92,
8.54,-1.53,2.81,
9.21,-0.58,2.79,
11.09,-1.34,1.91,
11.71,-0.83,1.25,
10.11,-1.17,2.03,
8.70,-1.30,2.55,
9.44,-0.78,2.33,
10.44,-1.02,1.57,
10.84,-0.90,1.65,
10.82,-1.02,1.52,
9.45,-1.14,1.38,
8.82,-0.98,2.31,
10.72,-0.88,1.84,
11.85,-0.87,0.42,
9.93,-1.02,1.82,
9.82,-0.85,1.81,
10.68,-0.95,1.16,
9.97,-0.97,1.54,
9.48,-1.00,1.53,
10.30,-0.92,1.46,
10.60,-0.93,1.10,
10.08,-0.85,1.49,
10.15,-1.04,1.44,
10.07,-0.91,1.25,
10.03,-0.97,1.51,
10.29,-0.98,1.18,
10.12,-0.78,1.61,
10.20,-1.05,1.41,
10.17,-0.87,1.43,
10.17,-0.95,1.37,
10.20,-0.96,1.33,
10.00,-0.99,1.45,
10.11,-1.02,1.43,
10.26,-0.94,1.35,
10.20,-0.95,1.45,
10.17,-0.93,1.45,
9.94,-0.84,1.95,
10.48,-1.03,1.00,
10.52,-0.93,1.38,
10.41,-0.95,1.35,
10.23,-0.99,1.48,
9.82,-1.08,1.66,
13.73,-0.99,4.28,
11.89,-0.96,-0.28,
10.70,-0.45,2.90,
11.03,-1.12,1.10,
9.73,-0.92,2.48,
9.40,-1.23,2.35,
8.46,-1.21,2.96,
8.18,-1.61,3.04,
8.00,-1.39,3.21,
7.90,-1.57,3.22,
8.29,-1.58,3.08,
8.55,-1.40,3.46,
8.93,-1.44,3.20,
9.26,-1.31,3.12,
9.48,-1.37,3.06,
9.67,-1.33,2.96,
9.80,-1.33,2.97,
9.89,-1.29,2.86,
9.82,-1.30,2.79,
9.86,-1.24,2.87,
9.85,-1.28,2.75,
9.85,-1.29,2.77,
9.74,-1.29,2.79,
9.63,-1.29,2.79,
9.61,-1.30,2.85,
9.66,-1.33,2.88,
9.62,-1.39,2.95,
9.58,-1.35,2.97,
9.49,-1.31,2.88,
9.44,-1.31,3.02,
9.34,-1.40,3.17,
9.31,-1.37,3.13,
9.22,-1.36,3.08,
9.32,-1.37,3.10,
9.37,-1.36,3.01,
9.46,-1.34,2.96,
9.59,-1.29,2.90,
9.69,-1.34,2.95,
9.81,-1.34,2.97,
9.81,-1.32,2.93,
9.86,-1.31,2.87,
9.66,-1.28,2.91,
9.59,-1.34,2.85,
9.58,-1.37,2.95,
9.41,-1.32,3.06,
9.47,-1.29,2.99,
9.43,-1.36,2.97,
9.47,-1.31,3.06,
9.55,-1.32,3.00,
9.56,-1.32,2.93,
9.53,-1.29,2.93,
9.59,-1.34,2.96,
9.52,-1.36,2.95,
9.43,-1.31,2.98,
9.50,-1.28,3.09,
9.48,-1.31,2.96,
9.50,-1.34,2.90,
9.49,-1.29,3.00,
9.64,-1.32,2.94,
9.67,-1.33,2.96,
9.58,-1.35,3.05,
9.60,-1.23,2.86,
9.58,-1.35,2.92,
9.49,-1.40,3.04,
9.51,-1.35,3.02,
9.53,-1.32,2.96,
9.52,-1.35,2.91,
9.50,-1.33,3.03,
9.46,-1.31,3.03,
9.58,-1.34,2.97,
9.61,-1.33,3.00,
9.55,-1.31,2.94,
9.54,-1.33,2.99,
9.50,-1.27,3.03,
9.57,-1.37,2.97,
9.46,-1.36,2.96,
9.54,-1.30,2.93,
9.48,-1.35,3.00,
9.52,-1.36,2.94,
9.49,-1.35,2.99,
9.53,-1.35,2.96,
9.62,-1.33,2.98,
9.55,-1.34,2.90,
9.60,-1.32,2.96,
9.54,-1.35,3.07,
9.62,-1.29,2.85,
9.60,-1.35,2.96,
9.57,-1.30,2.88,
9.56,-1.35,3.02,
9.53,-1.33,2.98,
9.51,-1.37,2.94,
9.47,-1.29,2.97,
9.47,-1.27,2.94,
9.52,-1.29,3.03,
9.55,-1.35,2.92,
9.46,-1.31,2.95,
9.56,-1.41,2.92,
9.49,-1.35,3.00,
9.50,-1.37,2.98,
9.55,-1.34,2.96,
9.55,-1.33,2.93,
9.62,-1.31,2.96,
9.60,-1.28,3.01,
9.54,-1.38,2.99,
9.52,-1.34,2.88,
9.49,-1.31,2.96,
9.50,-1.36,2.96,
9.56,-1.37,3.08,
9.51,-1.32,2.95,
9.52,-1.33,2.96,
9.49,-1.30,2.99,
9.53,-1.36,3.01,
9.49,-1.34,2.95,
9.51,-1.34,2.94,
9.51,-1.34,3.04,
9.54,-1.27,2.90,
9.53,-1.32,2.95,
9.57,-1.35,3.07,
9.53,-1.38,2.98,
9.54,-1.36,2.91,
9.56,-1.31,2.96,
9.54,-1.36,2.93,
9.54,-1.30,3.01,
9.52,-1.31,3.04,
9.56,-1.32,2.92,
9.54,-1.32,2.96,
9.50,-1.28,2.94,
9.53,-1.35,2.91,
9.54,-1.34,3.02,
9.50,-1.32,2.96,
9.60,-1.37,2.94,
9.51,-1.35,2.99,
9.54,-1.31,2.97,
9.53,-1.32,2.95,
9.57,-1.33,2.99,
9.57,-1.35,2.93,
9.57,-1.34,3.02,
9.48,-1.40,3.01,
9.61,-1.30,2.90,
9.55,-1.34,3.02,
9.54,-1.32,2.99,
9.54,-1.30,2.96,
9.55,-1.32,2.86,
9.54,-1.35,2.97,
9.51,-1.31,2.96,
9.54,-1.29,3.01,
9.51,-1.30,2.98,
9.48,-1.31,2.95,
9.56,-1.29,2.96,
9.53,-1.28,3.03,
9.50,-1.34,2.98,
9.61,-1.35,3.03,
9.53,-1.28,3.06,
9.56,-1.34,2.97,
9.55,-1.30,2.97,
9.52,-1.34,2.95,
9.51,-1.38,2.94,
9.52,-1.34,3.02,
9.51,-1.28,2.96,
9.49,-1.37,2.97,
9.60,-1.36,2.97,
9.55,-1.31,2.92,
9.57,-1.35,2.88,
9.53,-1.33,2.89,
9.54,-1.36,2.96,
9.49,-1.34,3.02,
9.46,-1.39,3.01,
9.54,-1.38,2.99,
9.52,-1.33,2.94,
9.58,-1.33,2.99,
9.51,-1.33,2.98,
9.54,-1.31,3.01,
9.54,-1.37,2.95,
9.42,-1.31,2.96,
9.53,-1.39,2.97,
9.51,-1.33,2.85,
9.53,-1.36,2.98,
9.53,-1.27,3.04,
9.56,-1.31,2.98,
9.56,-1.26,3.00,
9.58,-1.35,2.93,
9.61,-1.36,2.97,
9.52,-1.38,2.96,
9.53,-1.29,2.96,
9.58,-1.31,3.01,
9.52,-1.31,3.04,
9.52,-1.32,3.03,
9.49,-1.25,2.96,
9.56,-1.33,2.99,
9.54,-1.33,2.95,
9.46,-1.35,2.93,
9.52,-1.29,2.98,
9.52,-1.32,3.01,
9.50,-1.33,2.96,
9.51,-1.30,2.98,
9.53,-1.34,3.02,
9.55,-1.30,2.89,
9.53,-1.38,2.97,
9.53,-1.25,2.94,
9.51,-1.33,2.95,
9.49,-1.34,2.96,
9.50,-1.30,2.98,
9.59,-1.29,3.00,
9.53,-1.37,3.05,
9.53,-1.31,2.96,
9.53,-1.38,2.95,
9.52,-1.34,2.94,
9.55,-1.31,2.93,
9.53,-1.35,2.94,
9.60,-1.37,2.92,
9.55,-1.28,3.06,
9.55,-1.34,2.95,
9.54,-1.34,2.96,
9.53,-1.37,2.91,
9.52,-1.28,2.96,
9.52,-1.31,3.07,
9.52,-1.33,2.93,
9.58,-1.31,2.94,
9.55,-1.36,3.02,
9.65,-1.29,2.94,
9.45,-1.33,2.94,
9.56,-1.29,2.99,
9.54,-1.32,2.91,
9.57,-1.32,3.02,
9.53,-1.31,3.03,
9.53,-1.30,2.97,
9.49,-1.36,2.90,
9.54,-1.33,2.93,
9.54,-1.33,2.92,
9.59,-1.39,3.02,
9.51,-1.29,2.99,
9.57,-1.28,3.02,
9.56,-1.26,2.97,
9.54,-1.34,3.00,
9.55,-1.31,2.99,
9.57,-1.38,3.05,
9.50,-1.31,2.98,
9.56,-1.35,3.06,
9.56,-1.36,2.99,
9.57,-1.36,3.01,
9.60,-1.33,2.97,
9.52,-1.33,2.94,
9.58,-1.38,3.04,
9.52,-1.28,2.95,
9.58,-1.37,3.00,
9.60,-1.40,2.98,
63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,63,-1.27,2.96,
9.63,-1.37,2.95,
9.51,-1.28,2.90,
83,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
9.51,-1.383,
9.54,-1.28,2.93,
.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.5.36,2.93,
9.47,-1.28,2.96,
9.53,
Initialize MPU6050

 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3440 / -1783 / 1206

x,y,z
9.56,-1.34,2.90,
9.49,-1.32,2.89,
9.53,-1.34,2.93,
9.53,-1.34,2.99,
9.50,-1.36,2.89,
9.54,-1.40,2.91,
9.56,-1.33,2.95,
9.59,-1.34,2.91,
9.56,-1.33,2.91,
9.53,-1.29,2.94,
9.61,-1.27,3.05,
9.58,-1.33,2.90,
9.54,-1.27,2.96,
9.55,-1.34,2.95,
9.54,-1.38,2.94,
9.52,-1.33,2.90,
9.56,-1.30,2.92,
9.60,-1.28,2.88,
9.55,-1.24,2.96,
9.57,-1.29,2.92,
9.55,-1.31,2.88,
9.55,-1.27,2.87,
9.52,-1.34,2.96,
9.55,-1.35,2.87,
9.57,-1.30,2.87,
9.60,-1.33,2.88,
9.55,-1.37,2.89,
9.59,-1.32,2.94,
9.57,-1.35,2.97,
9.59,-1.36,3.02,
9.57,-1.32,2.90,
9.63,-1.31,2.98,
9.55,-1.34,2.98,
9.52,-1.34,2.78,
9.57,-1.32,2.88,
9.57,-1.33,2.90,
9.49,-1.32,2.91,
9.53,-1.33,2.94,
9.56,-1.30,2.95,
9.54,-1.34,2.92,
9.53,-1.30,2.91,
9.50,-1.36,2.92,
9.57,-1.35,2.88,
9.55,-1.35,2.87,
9.54,-1.30,2.98,
9.58,-1.34,2.94,
9.62,-1.30,2.94,
9.54,-1.32,2.95,
9.53,-1.29,2.91,
9.61,-1.31,2.95,
9.55,-1.35,2.87,
9.60,-1.31,2.92,
9.54,-1.34,2.90,
9.59,-1.32,2.97,
9.56,-1.26,2.93,
9.60,-1.29,2.92,
9.57,-1.36,2.95,
9.58,-1.39,2.83,
9.57,-1.29,3.01,
9.62,-1.34,2.96,
9.59,-1.28,2.97,
9.54,-1.34,2.85,
9.56,-1.34,2.90,
9.56,-1.34,2.88,
9.56,-1.30,2.88,
9.57,-1.30,2.95,
9.54,-1.39,2.93,
9.59,-1.33,3.03,
9.54,-1.24,2.92,
9.61,-1.32,2.93,
9.61,-1.33,2.82,
9.64,-1.33,2.93,
9.55,-1.29,2.82,
9.61,-1.33,2.86,
9.51,-1.39,2.93,
9.49,-1.29,2.93,
9.54,-1.26,2.88,
9.58,-1.28,2.89,
9.57,-1.33,2.96,
9.59,-1.32,2.98,
9.57,-1.32,2.92,
9.59,-1.28,2.98,
9.60,-1.41,2.97,
9.54,-1.30,2.97,
9.55,-1.30,2.88,
9.58,-1.39,2.98,
9.63,-1.27,2.94,
9.51,-1.31,2.89,
9.55,-1.28,2.95,
9.62,-1.40,2.83,
9.65,-1.30,2.87,
9.57,-1.28,2.88,
9.63,-1.38,2.99,
9.55,-1.29,2.97,
9.59,-1.32,2.93,
9.53,-1.31,2.90,
9.56,-1.34,2.89,
9.58,-1.29,3.01,
9.59,-1.27,2.96,
9.58,-1.44,2.94,
9.58,-1.23,2.83,
9.60,-1.28,2.94,
9.53,-1.37,2.85,
9.55,-1.34,2.95,
9.53,-1.28,2.96,
9.54,-1.37,2.87,
9.52,-1.34,2.98,
9.53,-1.32,2.87,
9.58,-1.31,2.91,
9.54,-1.33,2.89,
9.61,-1.38,2.90,
9.60,-1.30,2.90,
9.52,-1.33,2.92,
9.55,-1.32,2.87,
9.60,-1.38,2.93,
9.55,-1.39,2.94,
9.60,-1.26,2.95,
9.59,-1.32,2.86,
9.54,-1.31,2.99,
9.54,-1.27,2.88,
9.49,-1.34,2.97,
9.54,-1.28,2.92,
9.56,-1.34,2.85,
9.53,-1.36,2.86,
9.59,-1.28,3.02,
9.60,-1.32,2.89,
9.59,-1.32,2.87,
9.54,-1.31,2.93,
9.59,-1.31,2.84,
9.56,-1.34,2.89,
9.55,-1.26,2.89,
9.55,-1.35,2.96,
9.54,-1.35,2.96,
9.53,-1.35,2.90,
9.57,-1.39,2.90,
9.62,-1.28,2.91,
9.62,-1.30,2.92,
9.50,-1.34,2.88,
9.49,-1.32,2.89,
9.57,-1.32,2.95,
9.53,-1.28,2.94,
9.56,-1.38,2.95,
9.51,-1.34,3.01,
9.54,-1.32,2.95,
9.59,-1.34,2.96,
9.58,-1.28,2.95,
9.52,-1.33,2.89,
9.57,-1.30,2.95,
9.54,-1.36,2.96,
9.54,-1.36,2.90,
9.58,-1.29,2.95,
9.57,-1.30,2.93,
9.53,-1.33,2.97,
9.56,-1.33,2.91,
9.52,-1.28,3.02,
9.52,-1.32,2.92,
9.53,-1.32,2.92,
9.58,-1.31,2.85,
9.55,-1.36,2.87,
9.61,-1.32,2.96,
9.58,-1.37,2.92,
9.54,-1.34,2.93,
9.57,-1.30,2.87,
9.57,-1.34,2.90,
9.54,-1.31,2.99,
9.52,-1.33,2.87,
9.52,-1.32,2.85,
9.53,-1.31,2.97,
9.58,-1.37,2.99,
9.59,-1.34,2.96,
9.60,-1.30,2.89,
9.50,-1.25,2.90,
9.56,-1.29,2.97,
9.55,-1.31,2.95,
9.56,-1.33,2.85,
9.51,-1.28,2.89,
9.55,-1.33,2.92,
9.58,-1.35,2.92,
9.58,-1.34,2.96,
9.57,-1.31,2.97,
9.60,-1.30,2.84,
9.52,-1.28,2.94,
9.61,-1.37,2.90,
9.60,-1.28,2.93,
9.56,-1.31,2.99,
9.57,-1.28,3.04,
9.56,-1.32,2.94,
9.62,-1.35,2.93,
9.58,-1.30,2.97,
9.55,-1.31,2.88,
9.50,-1.36,2.93,
9.49,-1.34,2.91,
9.60,-1.27,2.95,
9.54,-1.37,2.90,
9.58,-1.31,2.88,
9.55,-1.35,2.99,
9.52,-1.35,2.95,
9.57,-1.30,2.89,
9.58,-1.37,2.96,
9.55,-1.32,2.86,
9.58,-1.32,2.90,
9.54,-1.33,2.90,
9.56,-1.34,2.95,
9.53,-1.34,2.86,
9.61,-1.30,2.94,
9.54,-1.34,2.90,
9.49,-1.30,2.92,
9.54,-1.34,2.95,
9.53,-1.32,2.96,
9.51,-1.35,2.84,
9.51,-1.27,2.97,
9.53,-1.35,2.90,
9.60,-1.32,2.88,
9.54,-1.34,2.97,
9.54,-1.27,2.91,
9.59,-1.34,2.93,
9.60,-1.34,2.90,
9.56,-1.36,2.92,
9.46,-1.27,2.98,
9.57,-1.30,2.87,
9.59,-1.28,2.92,
9.53,-1.28,2.89,
9.58,-1.31,2.85,
9.60,-1.31,2.94,
9.56,-1.31,2.91,
9.55,-1.27,2.93,
9.54,-1.27,2.89,
9.50,-1.34,2.89,
9.51,-1.33,3.03,
9.54,-1.35,3.00,
9.63,-1.31,2.93,
9.58,-1.34,2.89,
9.59,-1.34,3.02,
9.57,-1.31,2.99,
9.52,-1.30,2.92,
9.50,-1.32,2.93,
9.52,-1.28,2.98,
9.55,-1.34,2.88,
9.58,-1.34,2.88,
9.51,-1.28,2.96,
9.52,-1.30,3.02,
9.62,-1.33,2.92,
9.54,-1.38,2.85,
9.50,-1.29,2.94,
9.50,-1.30,2.90,
9.56,-1.34,2.97,
9.54,-1.32,2.91,
9.62,-1.30,2.87,
9.55,-1.35,2.94,
9.60,-1.30,2.97,
9.57,-1.31,2.90,
9.53,-1.34,2.90,
9.60,-1.31,2.81,
9.60,-1.31,2.91,
9.57,-1.35,2.97,
9.51,-1.33,3.01,
9.59,-1.36,2.91,
9.48,-1.31,2.91,
9.57,-1.40,2.86,
9.56,-1.32,2.99,
9.52,-1.32,2.96,
9.61,-1.28,2.90,
9.57,-1.28,2.91,
9.58,-1.28,2.88,
9.60,-1.36,2.85,
9.49,-1.28,2.85,
9.55,-1.29,2.96,
9.53,-1.33,3.01,
9.49,-1.30,2.85,
9.58,-1.33,2.95,
9.63,-1.30,2.89,
9.56,-1.26,2.93,
9.54,-1.28,2.94,
9.52,-1.31,2.90,
9.53,-1.34,2.96,
9.52,-1.35,2.81,
9.57,-1.31,2.95,
9.56,-1.37,2.92,
9.56,-1.35,2.84,
9.55,-1.26,2.88,
9.54,-1.29,2.93,
9.57,-1.31,2.98,
9.55,-1.30,2.90,
9.55,-1.36,2.93,
9.54,-1.29,2.86,
9.59,-1.34,2.93,
9.58,-1.30,2.93,
9.52,-1.33,2.89,
9.56,-1.34,2.93,
9.58,-1.34,2.94,
9.58,-1.30,2.89,
9.54,-1.32,3.03,
9.54,-1.34,2.93,
9.53,-1.26,2.96,
9.54,-1.37,2.91,
9.57,-1.33,2.88,
9.58,-1.28,2.82,
9.60,-1.33,2.93,
9.59,-1.31,2.95,
9.55,-1.32,2.81,
9.56,-1.33,2.97,
9.55,-1.37,2.90,
9.58,-1.34,2.94,
9.58,-1.32,2.94,
9.56,-1.35,2.90,
9.61,-1.31,2.98,
9.57,-1.34,2.85,
9.59,-1.31,2.93,
9.55,-1.28,3.00,
9.53,-1.30,3.01,
9.57,-1.31,2.86,
9.58,-1.31,2.94,
9.55,-1.34,2.91,
9.54,-1.34,2.95,
9.56,-1.26,2.89,
9.54,-1.26,2.85,
9.55,-1.34,2.88,
